title	id	credits	description	prereq	coreq	notes	faculty	restrictions	terms	profs
AAAA 100	AAAA 100		AAAA				00	
Intermediate Financial Accounting 1	ACCT 351	3	An examination of the theoretical foundation for financial reporting and revenue recognition. The tools of accounting, including a review of the accounting process and compound interest concepts. Asset recognition, measurement and disclosure. Partnership accounting.	MGCR 211			Desautels Faculty of Management	
Intermediate Financial Accounting 2	ACCT 352	3	A continuation of Intermediate Financial Accounting 1. An examination of liability recognition, measurement and disclosure, including leases, pension costs and corporate income tax. Shareholders' equity, dilutive securities and earnings per share. The statement of changes in financial position, basic financial statement analysis and full disclosure in financial reporting.	ACCT 351 and MGCR 341			Desautels Faculty of Management	
Financial Statement Analysis	ACCT 354	3	Interpretative nature of the conceptual framework underlying a multitude of financial reporting standards, including the impact of alternative accounting methods, management biases and stakeholder interests in the analysis and valuation of the firm.	MGCR 211 and MGCR 341			Desautels Faculty of Management	
Management Accounting	ACCT 361	3	The role of management accounting information to support internal management decisions and to provide performance incentives.	MGCR 211			Desautels Faculty of Management	
Cost Accounting	ACCT 362	3	An examination of a number of recurring issues in the area of decision-making and control, including cost allocation, alternative costing systems, and innovations in costing and performance measurement.	ACCT 361			Desautels Faculty of Management	
Principles of Taxation	ACCT 385	3	An introduction to the concepts underlying the Canadian tax system and how they are applied in relation to the taxation of individuals and businesses.	MGCR 211			Desautels Faculty of Management	
Sustainability and Environmental Accounting	ACCT 401	3	Developing measures of corporate environmental performance, assessing their reliability and reporting to external stakeholders. Using sustainability metrics in strategic and operational business decisions. Implementing and utilizing Environmental management systems and standards. Managing corporate environmental risks and accounting for environmental costs. Environmental auditing.	MGCR 211		Open only to U2 and U3 students.	Desautels Faculty of Management	
Topics in Accounting 1	ACCT 434	3	Topics will be selected from current issues in the Accounting Area.	MGCR 211			Desautels Faculty of Management	Open to U2 and U3 students.
Data Analytics in Capital Market	ACCT 451	3	Exploration of how financial and non-financial metrics can be linked to business performance through experiential learning, with a focus on financial statement analysis, earnings and return predictability, textural analysis, earnings management and fraud detection. Introduction to SAS software and financial accounting databases such as CRSP, Compustat, and I/B/E/S, and alternative data sources such as SEC Edgar that enables work across different database to make better financial statement analysis and decisions.	MGCR 211, MGCR 341			Desautels Faculty of Management	Open to U2 and U3 students
Financial Reporting Valuation	ACCT 452	3	Models to determine firm value from accounting information and a broader perspective on key sources of information, key value drivers, in a setting where evaluating firm value is the ultimate purpose.	ACCT 354.			Desautels Faculty of Management	
Advanced Financial Accounting	ACCT 453	3	Reporting relevant financial information subsequent to long term intercorporate investments. The preparation of consolidated financial statements with emphasis on their economic substance rather than legal form.	ACCT 352			Desautels Faculty of Management	
Development of Accounting Thought	ACCT 455	3	The conceptual underpinning of accounting thought, including its historical development and the modifications that have occurred over time. A review of accounting literature and its relevance to practice.	ACCT 352			Desautels Faculty of Management	
Management Control	ACCT 463	3	The theoretical frameworks for the examination and evaluation of management accounting and control systems. The technical aspects of accounting along with behavioural issues of management control.	ACCT 361			Desautels Faculty of Management	
Principles of Auditing	ACCT 475	3	An introduction to basic auditing concepts and internal controls of an accounting system. Topics include current auditing standards, ethical conduct, legal liability, planning of an audit, sampling techniques, non-audit engagements, the study and evaluation of internal controls in an accounting system.	ACCT 352			Desautels Faculty of Management	
Business Taxation 2	ACCT 486	3	A study of the Income Tax Act as it applies to the taxation of individuals and corporations, including capital cost allowances, capital gains, corporate reorganisations, trusts and partnerships and administrative regulations. A review of consumption taxes.	ACCT 385			Desautels Faculty of Management	
Financial Statements 1	ACCT 604	3	Introduction to financial accounting, including the objectives of financial statement analysis. Discussion of the limitations of the financial information used in financial statement analysis.	FINE 673		**This course will be held on June 26, 27, 28, July 2, 4, 5, 8, 9, 11, 12, 15, 16, 18 & 19 and final exam on July 22nd. | **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Course Add is the fourth lecture day. | **Web ADD only. | **No web drop allowed. | **Web withdrawal not applicable.	Desautels Faculty of Management	
Financial Statements 2	ACCT 605	3	The company valuation process. Establish frameworks using public data.	ACCT 604			Desautels Faculty of Management	
Financial Reporting: Structure and Analysis	ACCT 618	3	An in-depth analysis of corporate financial reporting principles and practices, with emphasis on developing the abilities of the student to discriminate between the form and substance of corporate financial reports. Analysis of all components of the financial statements with the effect of reference to alternative practices on financial reports.				Desautels Faculty of Management	
Intermediate Financial Reporting 1	ACCT 622	3	Theoretical foundation for financial reporting concepts such as asset measurement, revenue recognition and disclosure of financial information.	MGCR 611			Desautels Faculty of Management	
Intermediate Financial Reporting 2	ACCT 623	3	Theoretical foundation for financial reporting concepts such as liability and equity measurement, intercorporate investments.	ACCT 622.			Desautels Faculty of Management	
Management Accounting: Planning and Control	ACCT 624	3	Preparation and analysis of management accounting information, effective design and implementation of management accounting systems.	MGCR 611			Desautels Faculty of Management	
Canadian Taxation	ACCT 625	3	An overview of the income tax system; emphasis on its impact on selected business decisions. Topics include	MGCR 611.			Desautels Faculty of Management	
Data Analytics in Accounting	ACCT 626		Exploration of how financial and non-financial metrics can be linked to business performance through practica application learning. Examination of mandatory and voluntary corporate disclosure, financial statement analysis, return predictability, and fraud detection.	(INSY 660 OR INSY 662 OR Instructor's approval) AND (MGSC 660 OR MGSC 661 OR Instructor's approval)			Desautels Faculty of Management	
Financial Management in Healthcare	ACCT 645	2	Concepts of financial accounting to the non-accountant user of financial information. Fundamental knowledge of financial accounting, including financial statements, accounting �rules�, assets, liabilities and equity, the income statements as well as the financial statement analysis.				Desautels Faculty of Management	
Financial Management in Healthcare	ACCT 645D1	1	Concepts of financial accounting to the non-accountant user of financial information. Fundamental knowledge of financial accounting, including financial statements, accounting �rules�, assets, liabilities and equity, the income statements as well as the financial statement analysis.			Students must register for both ACCT 645D1 and ACCT 645D2 | No credit will be given for this course unless both ACCT 645D1 and ACCT 645D2 are successfully completed in consecutive terms | ACCT 645D1 and ACCT 645D2 together are equivalent to ACCT 645	Desautels Faculty of Management	
Financial Management in Healthcare	ACCT 645D2	1	For description see ACCT 645D1.	ACCT 645D1		No credit will be given for this course unless both ACCT 645D1 and ACCT 645D2 are successfully completed in consecutive terms	Desautels Faculty of Management	
Issues in Professional Accounting 1	ACCT 653	3	How fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making.			**Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is June 20, 2023. | *Desautels GCPA Prog students only. Intensive course. Add/drop May 23, w/withdrawal Jun 20.	Desautels Faculty of Management	Open only to students in the Graduate Certificate in Professional Accounting.
Issues in Professional Accounting 1	ACCT 653D1		How fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making.			Students must register for both ACCT 653D1 and ACCT 653D2. | No credit will be given for this course unless both ACCT 653D1 and ACCT 653D2 are successfully completed in consecutive terms. | ACCT 653D1 and ACCT 653D2 together are equivalent to ACCT 653. | Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the fourth lecture day and withdrawal is the sixth lecture day.	Desautels Faculty of Management	Open only to students in the Graduate Certificate in Professional Accounting.
Issues in Professional Accounting 1	ACCT 653D2		How fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making.	ACCT 653D1.		No credit will be given for this course unless both ACCT 653D1 and ACCT 653D2 are successfully completed in consecutive terms. | ACCT 653D1 and ACCT 653D2 together are equivalent to ACCT 653.	Desautels Faculty of Management	
Issues in Professional Accounting 2	ACCT 654	3	Fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making and strategies through case scenarios.			**Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is June 20, 2023. | *Desautels GCPA Prog students only. Intensive course. Add/drop May 25, w/withdrawal Jun 20.	Desautels Faculty of Management	Open only to students in the Graduate Certificate in Professional Accounting.
Issues in Professional Accounting 2	ACCT 654D1		Fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making and strategies through case scenarios.			Students must register for both ACCT 654D1 and ACCT 654D2. | No credit will be given for this course unless both ACCT 654D1 and ACCT 654D2 are successfully completed in consecutive terms. | ACCT 654D1 and ACCT 654D2 together are equivalent to ACCT 654. | Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the fourth lecture day and withdrawal is the sixth lecture day.	Desautels Faculty of Management	Open only to students in the Graduate Certificate in Professional Accounting.
Issues in Professional Accounting 2	ACCT 654D2		Fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making and strategies through case scenarios.	ACCT 654D1		No credit will be given for this course unless both ACCT 654D1 and ACCT 654D2 are successfully completed in consecutive terms. | ACCT 654D1 and ACCT 654D2 together are equivalent to ACCT 654.	Desautels Faculty of Management	
Strategic Aspects of Accounting 1	ACCT 663	3	Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Formulating deliberate and emergent strategies, and translating those strategies into specific objectives and actions which are used in decision-making.			**Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is June 20, 2023. | *Desautels GCPA Prog students only. Intensive course. Add/drop May 23, w/withdrawal Jun 20.	Desautels Faculty of Management	Open only to students in the Graduate Certificate in Professional Accounting.
